,0
0,NN_ALLC_L_THRP_DL_BITRATE_LS1M_RATIO
1,SECTOR_L_TRAFFIC_USER_PL0_RATIO
2,NN_INTERC_L_UL_INTERFERENCE_PUSCH_AVG
3,NN_INTRAC_L_CENTER_TA_RATIO
4,SECTOR_L_TRAFFIC_USER_AVG
5,CELL_LOCALCELLID
6,SECTOR_L_UL_RSRP_PUSCH_INDEX17_RATIO
7,SECTOR_L_UL_RSRP_PUSCH_INDEX20_RATIO
8,SECTOR_L_CENTER_TA_RATIO
9,NN_INTERC_L_TRAFFIC_USER_PL1_RATIO
10,NN_INTRAC_L_HHO_INTRAFREQ_INTRAENB_RATIO
11,NN_INTERC_L_THRP_UL_BITRATE_LS512K_RATIO
12,CELLDLSCHALGO_RBPRIMCSSELECTRATIOTHD
13,SECTOR_L_USER_UL_THROUGPUT_MBPS
14,CELLMIMOPARACFG_MIMOADAPTIVESWITCH
15,NN_INTRAC_L_USER_DL_THROUGPUT_FULLBUFF_MBPS
16,NN_ALLC_L_TRAFFIC_USER_PL7_RATIO
17,NN_ALLC_L_HHO_INTERFREQ_INTRAENB_RATIO
18,SECTOR_L_E_RAB_REL
19,SECTOR_L_DL_UL_RATIO
20,NN_INTERC_L_HHO_INTRAFREQ_INTRAENB_RATIO
21,NN_ALLC_L_RRC_REEST_SR
22,L_CHMEAS_CQI_DL_6_RATIO
23,L_CHMEAS_PDSCH_MCS_LS5_RATIO
24,NN_INTERC_L_MODEL_DL_SPECTRUM_EFFICIENCY
25,NN_INTRAC_L_PRB_DL_UR
26,NN_INTERC_L_CL_RANK2_TB_RATIO
27,NN_INTRAC_L_UL_RSRP_PUSCH_INDEX16_RATIO
28,NN_INTERC_L_DL_UL_RATIO
29,SECTOR_L_USER_DL_THROUGPUT_MBPS
30,SECTOR_L_TRAFFIC_USER_PL1_RATIO
31,L_TRAFFIC_USER_PL1_RATIO
32,NN_INTRAC_L_CHMEAS_PRB_DL_USED_AVG
33,NN_ALLC_L_AVGTA
34,SECTOR_L_RRC_REEST_SR
35,NN_INTRAC_L_UL_PUCCH_AVG_COVERAGE
36,NN_INTRAC_L_RRC_REEST_SR
37,L_CENTER_TA_RATIO
38,CELLPCALGO_PUSCHRSRPHIGHTHD
39,NN_INTRAC_L_CHMEAS_PDSCH_MCS_GT26_RATIO
40,NN_INTERC_L_MODEL_DATA_TRANS_TIME_TO_ONLINE_TIME_RATIO
41,NN_ALLC_L_MODEL_DATA_TRANS_TIME_TO_ONLINE_TIME_RATIO
42,SECTOR_L_HHO_INTERFREQ_INTRAENB_RATIO
43,PDSCHCFG_REFERENCESIGNALPWR
44,NN_INTRAC_L_UL_INTERFERENCE_AVG
45,L_CHMEAS_PDSCH_MCS_GT26_RATIO
46,CELL_TXRXMODE
47,CELLMLB_MLBTRIGGERMODE
48,L_UL_RSRP_PUSCH_INDEX20_RATIO
49,NN_INTERC_L_THRP_DL_BITRATE_SAMP_TOTAL
50,NN_INTERC_L_USER_DL_THROUGPUT_FULLBUFF_MBPS
51,NN_INTRAC_L_E_RAB_REL
52,NN_INTRAC_L_HHO_INTERFREQ_PREPATTOUT
53,SECTOR_L_TRAFFIC_USER_BORDERUE_AVG
54,NN_ALLC_L_UL_EDGE_INTERFERENCE_PUSCH_RATIO
55,L_HHO_INTERFREQ_INTRAENB_RATIO
56,NN_INTERC_L_HHO_INTERFREQ_SR
57,L_DL_AVG_COVERAGE_TIME_ULPL
58,SECTOR_L_PRB_DL_PDSCH_UR
59,L_THRP_BITS_DL
60,L_RRC_CONNREQ_ATT
61,NN_INTRAC_L_UL_RSRP_PUSCH_INDEX20_RATIO
62,NN_INTERC_L_UL_RSRP_PUSCH_INDEX17_RATIO
63,L_MODEL_DL_SPECTRUM_EFFICIENCY
64,NN_INTERC_L_CHMEAS_CQI_DL_9_RATIO
65,CELL_PHYCELLID
66,NN_INTRAC_L_PRB_UL_UR
67,L_PRB_DL_UR
68,NN_ALLC_L_THRP_BITS_TOTAL
69,NN_INTRAC_L_THRP_BITS_TOTAL
70,L_DL_UL_RATIO
71,NN_ALLC_L_UL_INTERFERENCE_AVG
72,SECTOR_L_USER_DL_THROUGPUT_FULLBUFF_MBPS
73,INTERFREQHOGROUP_INTERFREQHOA1THDRSRP
74,SECTOR_L_THRP_DL_BITRATE_SAMP_LS1M
75,L_TRAFFIC_ACTIVEUSER_AVG
76,SECTOR_L_CHMEAS_PDSCH_MCS_GT26_RATIO
77,SECTOR_L_CHMEAS_CCE_DL_ALLOCFAIL_RATIO
